Time,Displacement,Force,Compressive displacement,voltage_1
(s),(mm),(N),(mm),(V)
"0.0000","0.1513","0.0235","0.0001","-0.0016"
"0.0050","0.1513","0.0243","0.0000","-0.0016"
"0.0100","0.1513","0.0243","0.0000","-0.0016"
"0.0150","0.1513","0.0235","0.0000","-0.0016"
"0.0200","0.1513","0.0224","0.0000","-0.0016"
"0.0250","0.1513","0.0213","0.0001","-0.0016"
"0.0300","0.1513","0.0208","0.0000","-0.0016"
"0.0350","0.1514","0.0206","0.0001","-0.0016"
"0.0400","0.1513","0.0205","0.0000","-0.0016"
"0.0450","0.1515","0.0203","0.0002","-0.0016"
"0.0500","0.1515","0.0200","0.0002","-0.0016"
"0.0550","0.1517","0.0201","0.0004","-0.0016"
"0.0600","0.1520","0.0205","0.0007","-0.0016"
"0.0650","0.1525","0.0222","0.0012","-0.0016"
"0.0700","0.1533","0.0259","0.0021","-0.0016"
"0.0750","0.1544","0.0322","0.0031","-0.0016"
"0.0800","0.1558","0.0414","0.0045","-0.0016"
"0.0850","0.1574","0.0546","0.0061","-0.0016"
"0.0900","0.1592","0.0723","0.0079","-0.0016"
"0.0950","0.1611","0.0945","0.0098","-0.0016"
"0.1000","0.1630","0.1217","0.0117","-0.0016"
"0.1050","0.1649","0.1532","0.0136","-0.0016"
"0.1100","0.1668","0.1887","0.0155","-0.0016"
"0.1150","0.1685","0.2270","0.0172","-0.0016"
"0.1200","0.1702","0.2672","0.0189","-0.0016"
"0.1250","0.1716","0.3074","0.0203","-0.0016"
"0.1300","0.1729","0.3473","0.0216","-0.0016"
"0.1350","0.1741","0.3852","0.0229","-0.0016"
"0.1400","0.1754","0.4205","0.0241","-0.0016"
"0.1450","0.1766","0.4541","0.0253","-0.0016"
"0.1500","0.1778","0.4868","0.0266","-0.0016"
"0.1550","0.1792","0.5179","0.0279","-0.0016"
"0.1600","0.1806","0.5474","0.0293","-0.0016"
"0.1650","0.1821","0.5761","0.0308","-0.0016"
"0.1700","0.1836","0.6045","0.0323","-0.0016"
"0.1750","0.1851","0.6332","0.0338","-0.0016"
"0.1800","0.1865","0.6626","0.0352","-0.0016"
"0.1850","0.1879","0.6925","0.0366","-0.0016"
"0.1900","0.1893","0.7229","0.0380","-0.0016"
"0.1950","0.1908","0.7539","0.0395","-0.0016"
"0.2000","0.1923","0.7850","0.0410","-0.0016"
"0.2050","0.1939","0.8164","0.0426","-0.0016"
"0.2100","0.1955","0.8470","0.0442","-0.0016"
"0.2150","0.1971","0.8782","0.0459","-0.0016"
"0.2200","0.1988","0.9101","0.0475","-0.0016"
"0.2250","0.2005","0.9426","0.0492","-0.0016"
"0.2300","0.2021","0.9762","0.0508","-0.0016"
"0.2350","0.2037","1.0102","0.0524","-0.0016"
"0.2400","0.2051","1.0448","0.0538","-0.0016"
"0.2450","0.2065","1.0796","0.0552","-0.0016"
"0.2500","0.2078","1.1140","0.0566","-0.0016"
"0.2550","0.2092","1.1474","0.0579","-0.0016"
"0.2600","0.2105","1.1800","0.0593","-0.0016"
"0.2650","0.2120","1.2116","0.0607","-0.0016"
"0.2700","0.2134","1.2426","0.0621","-0.0016"
"0.2750","0.2150","1.2732","0.0637","-0.0016"
"0.2800","0.2165","1.3053","0.0652","-0.0016"
"0.2850","0.2181","1.3391","0.0668","-0.0016"
"0.2900","0.2197","1.3744","0.0684","-0.0016"
"0.2950","0.2212","1.4109","0.0699","-0.0016"
"0.3000","0.2225","1.4490","0.0713","-0.0016"
"0.3050","0.2238","1.4886","0.0725","-0.0016"
"0.3100","0.2250","1.5285","0.0737","-0.0016"
