Time,Displacement,Force,Compressive displacement,voltage_1
0.0,0.006,0.05,0.0,-0.0016
0.005,0.006,0.05,0.0,-0.0016
0.01,0.006,0.0499,0.0,-0.0016
0.015,0.006,0.0493,0.0,-0.0016
0.02,0.006,0.0485,0.0,-0.0016
0.025,0.006,0.0473,0.0,-0.0016
0.03,0.006,0.0463,0.0,-0.0016
0.035,0.006,0.0456,0.0,-0.0016
0.04,0.006,0.0453,0.0,-0.0016
0.045,0.0061,0.0457,0.0001,-0.0016
0.05,0.0062,0.0463,0.0002,-0.0016
0.055,0.0066,0.0478,0.0006,-0.0016
0.06,0.0072,0.0518,0.0012,-0.0016
0.065,0.0081,0.0607,0.0021,-0.0016
0.07,0.0093,0.0752,0.0033,-0.0016
0.075,0.0108,0.098,0.0048,-0.0016
0.08,0.0124,0.13,0.0064,-0.0016
0.085,0.0139,0.1718,0.0079,-0.0016
0.09,0.0154,0.2224,0.0095,-0.0016
0.095,0.0168,0.2803,0.0108,-0.0016
0.1,0.0181,0.3431,0.0121,-0.0016
0.105,0.0193,0.4089,0.0133,-0.0016
0.11,0.0206,0.4765,0.0146,-0.0016
0.115,0.0218,0.5443,0.0158,-0.0016
0.12,0.0231,0.6115,0.0172,-0.0016
0.125,0.0245,0.6784,0.0185,-0.0016
0.13,0.026,0.7449,0.02,-0.0016
0.135,0.0275,0.8112,0.0215,-0.0016
0.14,0.0291,0.8772,0.0231,-0.0016
0.145,0.0307,0.9435,0.0247,-0.0016
0.15,0.0323,1.0102,0.0263,-0.0016
0.155,0.0339,1.0779,0.0279,-0.0016
0.16,0.0354,1.1477,0.0295,-0.0016
0.165,0.0369,1.2192,0.0309,-0.0016
0.17,0.0384,1.2914,0.0324,-0.0016
0.175,0.0398,1.3632,0.0338,-0.0016
0.18,0.0412,1.4344,0.0352,-0.0016
0.185,0.0426,1.5057,0.0366,-0.0016
0.19,0.0441,1.5767,0.0381,-0.0016
0.195,0.0457,1.6475,0.0397,-0.0016
0.2,0.0474,1.7189,0.0414,-0.0016
0.205,0.0491,1.7908,0.0431,-0.0016
0.21,0.0508,1.864,0.0448,-0.0016
0.215,0.0525,1.9386,0.0465,-0.0016
0.22,0.054,2.0145,0.048,-0.0016
0.225,0.0553,2.0911,0.0494,-0.0016
0.23,0.0566,2.1675,0.0506,-0.0016
0.235,0.0578,2.2421,0.0518,-0.0016
0.24,0.0589,2.3137,0.0529,-0.0016
0.245,0.0601,2.3813,0.0541,-0.0016
0.25,0.0614,2.4452,0.0554,-0.0016
0.255,0.0627,2.5062,0.0567,-0.0016
0.26,0.0641,2.5654,0.0581,-0.0016
0.265,0.0655,2.6244,0.0595,-0.0016
0.27,0.0669,2.6836,0.0609,-0.0016
