Time,Displacement,Force,Compressive displacement,voltage_1
0.0,0.0483,0.005,-0.0001,-0.0003
0.005,0.0485,0.0047,0.0001,-0.0003
0.01,0.0483,0.0048,-0.0001,-0.0003
0.015,0.0485,0.0051,0.0001,-0.0003
0.02,0.0483,0.0061,0.0,-0.0003
0.025,0.0485,0.0078,0.0001,-0.0003
0.03,0.0484,0.0086,0.0,-0.0003
0.035,0.0484,0.0089,0.0001,-0.0003
0.04,0.0484,0.0088,0.0001,-0.0003
0.045,0.0485,0.0088,0.0002,-0.0003
0.05,0.0486,0.0086,0.0003,-0.0003
0.055,0.0488,0.0085,0.0004,-0.0003
0.06,0.0489,0.0089,0.0005,-0.0003
0.065,0.0492,0.0093,0.0009,-0.0003
0.07,0.0498,0.0095,0.0015,-0.0003
0.075,0.0507,0.0107,0.0024,-0.0003
0.08,0.052,0.0124,0.0036,-0.0003
0.085,0.0535,0.0127,0.0051,-0.0003
0.09,0.0552,0.0135,0.0068,-0.0003
0.095,0.0569,0.0133,0.0086,-0.0003
0.1,0.0585,0.0119,0.0102,-0.0003
0.105,0.0601,0.0098,0.0117,-0.0003
0.11,0.0615,0.0076,0.0132,-0.0003
0.115,0.063,0.0061,0.0146,-0.0003
0.12,0.0645,0.0055,0.0161,-0.0003
0.125,0.066,0.0052,0.0176,-0.0003
0.13,0.0675,0.005,0.0192,-0.0003
0.135,0.069,0.0044,0.0206,-0.0003
0.14,0.0705,0.0041,0.0221,-0.0003
0.145,0.0719,0.0042,0.0235,-0.0003
0.15,0.0734,0.0038,0.025,-0.0003
0.155,0.0748,0.0036,0.0265,-0.0003
0.16,0.0764,0.004,0.028,-0.0003
0.165,0.078,0.0044,0.0297,-0.0003
0.17,0.0797,0.0046,0.0314,-0.0003
0.175,0.0814,0.0051,0.0331,-0.0003
0.18,0.0831,0.0057,0.0348,-0.0003
0.185,0.0848,0.0058,0.0364,-0.0003
0.19,0.0864,0.0055,0.0381,-0.0003
0.195,0.088,0.0053,0.0396,-0.0003
0.2,0.0894,0.0051,0.0411,-0.0003
0.205,0.0908,0.0048,0.0425,-0.0003
0.21,0.0922,0.0052,0.0439,-0.0003
0.215,0.0936,0.0056,0.0452,-0.0003
0.22,0.095,0.0056,0.0467,-0.0003
0.225,0.0965,0.0062,0.0482,-0.0003
0.23,0.0981,0.0067,0.0497,-0.0003
0.235,0.0996,0.0066,0.0513,-0.0003
0.24,0.1012,0.0066,0.0528,-0.0003
0.245,0.1028,0.0066,0.0544,-0.0003
0.25,0.1043,0.0064,0.056,-0.0003
0.255,0.1058,0.0058,0.0574,-0.0003
0.26,0.1072,0.006,0.0588,-0.0003
0.265,0.1085,0.0051,0.0601,-0.0003
0.27,0.1097,0.0037,0.0613,-0.0003
0.275,0.1109,0.003,0.0625,-0.0003
0.28,0.112,0.0029,0.0637,-0.0003
0.285,0.1133,0.0028,0.0649,-0.0003
0.29,0.1146,0.0032,0.0662,-0.0003
0.295,0.116,0.0039,0.0676,-0.0003
0.3,0.1174,0.0042,0.069,-0.0003
0.305,0.1188,0.0046,0.0705,-0.0003
0.31,0.1204,0.0052,0.072,-0.0003
