Time,Displacement,Force,Compressive displacement,voltage_1
(s),(mm),(N),(mm),(V)
"0.0000","0.0483","0.0050","-0.0001","-0.0003"
"0.0050","0.0485","0.0047","0.0001","-0.0003"
"0.0100","0.0483","0.0048","-0.0001","-0.0003"
"0.0150","0.0485","0.0051","0.0001","-0.0003"
"0.0200","0.0483","0.0061","0.0000","-0.0003"
"0.0250","0.0485","0.0078","0.0001","-0.0003"
"0.0300","0.0484","0.0086","0.0000","-0.0003"
"0.0350","0.0484","0.0089","0.0001","-0.0003"
"0.0400","0.0484","0.0088","0.0001","-0.0003"
"0.0450","0.0485","0.0088","0.0002","-0.0003"
"0.0500","0.0486","0.0086","0.0003","-0.0003"
"0.0550","0.0488","0.0085","0.0004","-0.0003"
"0.0600","0.0489","0.0089","0.0005","-0.0003"
"0.0650","0.0492","0.0093","0.0009","-0.0003"
"0.0700","0.0498","0.0095","0.0015","-0.0003"
"0.0750","0.0507","0.0107","0.0024","-0.0003"
"0.0800","0.0520","0.0124","0.0036","-0.0003"
"0.0850","0.0535","0.0127","0.0051","-0.0003"
"0.0900","0.0552","0.0135","0.0068","-0.0003"
"0.0950","0.0569","0.0133","0.0086","-0.0003"
"0.1000","0.0585","0.0119","0.0102","-0.0003"
"0.1050","0.0601","0.0098","0.0117","-0.0003"
"0.1100","0.0615","0.0076","0.0132","-0.0003"
"0.1150","0.0630","0.0061","0.0146","-0.0003"
"0.1200","0.0645","0.0055","0.0161","-0.0003"
"0.1250","0.0660","0.0052","0.0176","-0.0003"
"0.1300","0.0675","0.0050","0.0192","-0.0003"
"0.1350","0.0690","0.0044","0.0206","-0.0003"
"0.1400","0.0705","0.0041","0.0221","-0.0003"
"0.1450","0.0719","0.0042","0.0235","-0.0003"
"0.1500","0.0734","0.0038","0.0250","-0.0003"
"0.1550","0.0748","0.0036","0.0265","-0.0003"
"0.1600","0.0764","0.0040","0.0280","-0.0003"
"0.1650","0.0780","0.0044","0.0297","-0.0003"
"0.1700","0.0797","0.0046","0.0314","-0.0003"
"0.1750","0.0814","0.0051","0.0331","-0.0003"
"0.1800","0.0831","0.0057","0.0348","-0.0003"
"0.1850","0.0848","0.0058","0.0364","-0.0003"
"0.1900","0.0864","0.0055","0.0381","-0.0003"
"0.1950","0.0880","0.0053","0.0396","-0.0003"
"0.2000","0.0894","0.0051","0.0411","-0.0003"
"0.2050","0.0908","0.0048","0.0425","-0.0003"
"0.2100","0.0922","0.0052","0.0439","-0.0003"
"0.2150","0.0936","0.0056","0.0452","-0.0003"
"0.2200","0.0950","0.0056","0.0467","-0.0003"
"0.2250","0.0965","0.0062","0.0482","-0.0003"
"0.2300","0.0981","0.0067","0.0497","-0.0003"
"0.2350","0.0996","0.0066","0.0513","-0.0003"
"0.2400","0.1012","0.0066","0.0528","-0.0003"
"0.2450","0.1028","0.0066","0.0544","-0.0003"
"0.2500","0.1043","0.0064","0.0560","-0.0003"
"0.2550","0.1058","0.0058","0.0574","-0.0003"
